成都移动电信,#genre#
四川妇女儿童,http://125.71.114.18:4022/rtp/239.93.0.219:5140
四川科教,http://125.71.114.18:4022/rtp/239.93.42.44:5140
四川乡村,http://125.71.114.18:4022/rtp/239.93.0.52:5140
峨眉电影,http://125.71.114.18:4022/rtp/239.93.0.252:5140
康巴卫视,http://125.71.114.18:4022/rtp/239.93.0.41:5140
成都新闻综合,http://125.71.114.18:4022/rtp/239.93.0.16:5140
成都经济资讯,http://125.71.114.18:4022/rtp/239.93.0.17:1239
成都都市生活,http://125.71.114.18:4022/rtp/239.93.0.18:1238
成都影视文艺,http://125.71.114.18:4022/rtp/239.93.0.19:1250
成都公共,http://125.71.114.18:4022/rtp/239.93.1.231:5140
成都少儿,http://125.71.114.18:4022/rtp/239.93.0.21:1251
成都每日购物,http://125.71.114.18:4022/rtp/239.93.0.22:1252
蓉城先锋,http://125.71.114.18:4022/rtp/239.93.0.91:2101
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://43.141.130.51/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://43.141.130.33/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8
重温经典,http://ipys.2288.org:8889/udp/228.1.1.44:6044$湖南郴州联通
湖南卫视,http://125.71.114.18:4022/rtp/239.93.0.88:5140
江苏卫视,http://125.71.114.18:4022/rtp/239.93.0.89:5140
浙江卫视,http://125.71.114.18:4022/rtp/239.93.0.124:5140
东方卫视,http://125.71.114.18:4022/rtp/239.93.0.123:5140
北京卫视,http://125.71.114.18:4022/rtp/239.93.0.180:5140
深圳卫视,http://125.71.114.18:4022/rtp/239.93.0.182:5140
广东卫视,http://125.71.114.18:4022/rtp/239.93.0.181:5140
天津卫视,http://125.71.114.18:4022/rtp/239.93.0.167:5140
山东卫视,http://125.71.114.18:4022/rtp/239.93.0.168:5140
江西卫视,http://125.71.114.18:4022/rtp/239.93.0.134:5140
东南卫视,http://125.71.114.18:4022/rtp/239.93.0.42:5140
黑龙江卫视,http://125.71.114.18:4022/rtp/239.93.0.183:5140
重庆卫视,http://125.71.114.18:4022/rtp/239.93.1.107:5140
贵州卫视,http://125.71.114.18:4022/rtp/239.93.0.131:5140
湖北卫视,http://125.71.114.18:4022/rtp/239.93.0.250:5140
安徽卫视,http://125.71.114.18:4022/rtp/239.93.1.106:5140
河北卫视,http://125.71.114.18:4022/rtp/239.93.0.132:5140
辽宁卫视,http://125.71.114.18:4022/rtp/239.93.1.108:5140
河南卫视,http://125.71.114.18:4022/rtp/239.93.42.45:5140
广西卫视,http://125.71.114.18:4022/rtp/239.93.42.46:5140
云南卫视,http://125.71.114.18:4022/rtp/239.93.1.174:5140
吉林卫视,http://125.71.114.18:4022/rtp/239.93.0.248:5140
甘肃卫视,http://125.71.114.18:4022/rtp/239.93.0.81:5140
陕西卫视,http://125.71.114.18:4022/rtp/239.93.0.143:5140$高清

陕西卫视,http://125.71.114.18:4022/rtp/239.93.0.176:5140
安多卫视,http://125.71.114.18:4022/rtp/239.93.0.234:5140
山西卫视,http://125.71.114.18:4022/rtp/239.93.0.6:5140
内蒙古卫视,http://125.71.114.18:4022/rtp/239.93.0.8:5140
青海卫视,http://125.71.114.18:4022/rtp/239.93.0.192:5140
宁夏卫视,http://125.71.114.18:4022/rtp/239.93.0.247:5140
西藏卫视,http://125.71.114.18:4022/rtp/239.93.0.175:5140
新疆卫视,http://125.71.114.18:4022/rtp/239.93.0.194:5140
海南卫视,http://125.71.114.18:4022/rtp/239.93.0.80:5140
陕西农林,http://125.71.114.18:4022/rtp/239.93.0.100:5140
兵团卫视,http://125.71.114.18:4022/rtp/239.93.42.43:5140
厦门卫视,http://125.71.114.18:4022/rtp/239.93.42.57:5140
三沙卫视,http://125.71.114.18:4022/rtp/239.93.42.58:5140
山东教育卫视,http://125.71.114.18:4022/rtp/239.93.1.196:5140
延边卫视,http://125.71.114.18:4022/rtp/239.93.0.249:5140



数字电视,#genre#

北京纪实科教,http://125.71.114.18:4022/rtp/239.93.0.152:5140
爱体育,http://125.71.114.18:4022/rtp/239.93.0.135:9008
爱喜剧,http://125.71.114.18:4022/rtp/239.93.42.9:5140
爱喜剧,http://125.71.114.18:4022/rtp/239.93.1.59:5140
爱科幻,http://125.71.114.18:4022/rtp/239.93.42.10:5140
爱院线,http://125.71.114.18:4022/rtp/239.93.42.11:5140
爱悬疑,http://125.71.114.18:4022/rtp/239.93.42.12:5140
爱经典,http://125.71.114.18:4022/rtp/239.93.42.13:5140
爱谍战,http://125.71.114.18:4022/rtp/239.93.42.14:5140
爱青春,http://125.71.114.18:4022/rtp/239.93.42.16:5140
爱电竞,http://125.71.114.18:4022/rtp/239.93.42.19:5140
爱赛车,http://125.71.114.18:4022/rtp/239.93.42.20:5140
爱怀旧,http://125.71.114.18:4022/rtp/239.93.42.21:5140
爱奇谈,http://125.71.114.18:4022/rtp/239.93.42.22:5140
爱幼教,http://125.71.114.18:4022/rtp/239.93.42.17:5140
爱玩具,http://125.71.114.18:4022/rtp/239.93.42.18:5140
爱动漫,http://125.71.114.18:4022/rtp/239.93.42.23:5140
都市剧场,http://125.71.114.18:4022/rtp/239.93.42.30:5140
动漫秀场,http://125.71.114.18:4022/rtp/239.93.42.93:5140
卡酷动画,http://125.71.114.18:4022/rtp/239.93.42.1:5140
卡酷动画,http://yun.jinsome.com:8686/rtp/239.3.1.189:8000$北京联通
卡酷动画,http://175.147.78.115:8888/rtp/232.0.0.54:1234$辽宁联通
金鹰卡通,http://125.71.114.18:4022/rtp/239.93.0.108:5140
金鹰卡通,http://118.254.201.164:8888/udp/239.76.245.120:1234$湖南电信FHD
金鹰卡通,http://118.254.201.164:8888/udp/239.76.246.107:1234$湖南电信高清
金鹰卡通,http://175.147.78.115:8888/rtp/232.0.0.90:1234$辽宁联通
优漫卡通,http://125.71.114.18:4022/rtp/239.93.0.251:5140
优漫卡通,http://yoyotime.cn:2177/rtp/239.49.8.119:8000$江苏电信
炫动卡通,http://125.71.114.18:4022/rtp/239.93.0.173:5140
炫动卡通,http://58.37.132.119:8888/rtp/239.45.1.55:5140$上海电信高清
嘉佳卡通,http://125.71.114.18:4022/rtp/239.93.0.246:5140
嘉佳卡通,http://113.93.55.208:5555/udp/239.77.0.179:5146$广东电信高清







北京纪实科教,http://125.71.114.18:4022/rtp/239.93.0.152:5140
爱体育,http://125.71.114.18:4022/rtp/239.93.0.135:9008
爱喜剧,http://125.71.114.18:4022/rtp/239.93.42.9:5140
爱喜剧,http://125.71.114.18:4022/rtp/239.93.1.59:5140
爱科幻,http://125.71.114.18:4022/rtp/239.93.42.10:5140
爱院线,http://125.71.114.18:4022/rtp/239.93.42.11:5140
爱悬疑,http://125.71.114.18:4022/rtp/239.93.42.12:5140
爱经典,http://125.71.114.18:4022/rtp/239.93.42.13:5140
爱谍战,http://125.71.114.18:4022/rtp/239.93.42.14:5140
爱青春,http://125.71.114.18:4022/rtp/239.93.42.16:5140
